,Review,Cleaned_Review,Category
11076,"We requested Earl Grey tea, which they replied saying no problem, apparently the concierge said they don't have any in the hotel! We asked about goods it was late, told the pizza place or bar was open, neither we're available! There was building works and finding it was a nightmare, so we asked for a map, they only had one of London nothing to help us find the hotel again. Small things but very annoying.",request earl grey tea reply say problem apparently concierge say not hotel ask goods late tell pizza place bar open neither available build work find nightmare ask map one london nothing help us find hotel small things annoy,0
11077,"Staff very rude, very poor English, we asked to book in at 1pm before hand then when we arrived told we must pay to upgrade the room",staff rude poor english ask book pm hand arrive tell must pay upgrade room,0
11078,I did early Checked in they charged me.10 pounds,early check charge pound,0
11079,"The room was not as clean as I would have liked. Hairs on bedding and in bathroom, marks on the extra bedding. Bedroom decor was outdated. Furniture broken and walls covered in marks, a little empty and impersonal. Also check in was a little slow!",room not clean would like hairs bed bathroom mark extra bed bedroom decor outdated furniture break wall cover mark little empty impersonal also check little slow,0
11080,its a bit old....however..does the job needed..,bite oldhoweverdoes job need,0
11081,The lack of things to do within the hotel,lack things within hotel,0
11082,"I don’t like the way reception speak, I don’t like room so small , so much downstairs and no guide how to go well, no network in room, such a bad experience",not like way reception speak not like room small much downstairs guide go well network room bad experience,0
11083,"Customer service was really crap, staff to have adequate training before they start",customer service really crap staff adequate train start,0
11084,Good could have been better.,good could better,0
11085,Food wasn’t the best,food not best,0
11086,Windows broken and wouldn’t shut at night . Early check in promised but not given .,windows break would not shut night early check promise not give,0
11087,"room was underground, and presumably also under the lock. many ceiling tiles were damp and there were three leaks in the corridor 'fixed' by buckets collecting the water. stairway carpet was loose and left as a trip hazard. being subterranean, there is no mobile signal. it is also unbearably hot, even with the air con on full blast the room was over 24celcius in november. btw, having cheap tacky halloween decorations up is a bit naff on 31st oct, but when theyre still up on 3rd november it reflects the general lack of care of a substandard hotel.",room underground presumably also lock many ceiling tile damp three leak corridor fix bucket collect water stairway carpet loose leave trip hazard subterranean mobile signal also unbearably hot even air con full blast room celcius november btw cheap tacky halloween decorations bite naff st oct still rd november reflect general lack care substandard hotel,0
11088,Elevaator stuck several times. Its annoying and time consuming.,elevaator stick several time annoy time consume,0
11089,Ridiculous that a business hotel does not provide free wifi and that a large amount of their rooms are in the basement WITH NO PHONE SIGNAL!!!! AND no free wifi - price does not meet expectations - facilities are not for a 4* hotel. SLow to check-in. Do not reply phone calls. Asked for a double bed ang got given a room with two single beds. I do not recommend for a business trip.,ridiculous business hotel not provide free wifi large amount room basement phone signal free wifi price not meet expectations facilities not hotel slow checkin not reply phone call ask double bed ang get give room two single bed not recommend business trip,0
11090,"Room was the worst I have ever stayed in,carpet was covered in stains even burnt from an iron and bathroom tiles were covered in stains",room worst ever stay incarpet cover stain even burn iron bathroom tile cover stain,0
11091,"Hideous mattress...very old you could feel every spring! They said they would change it for the second night and didn’t. No TV remote, kettle filthy and a used spoon for the tea and coffee in the room. General cleanliness of the room and hotel could be better. Staff not
Attentive and breakfast options were limited and almost cold.",hideous mattressvery old could feel every spring say would change second night not tv remote kettle filthy use spoon tea coffee room general cleanliness room hotel could better staff not attentive breakfast options limit almost cold,0
11092,"Took ages to check in. I booked a double room which somehow became unavailable as I was checking in. The only option I was given was a single room or a smoking double room which I was told as a non smoker I should definitely go for that room. The WiFi is awful, as my room was below ground I had to go to the reception area to get signal to log on to the WiFi which took quite a while to get into and was £7! The emergency lighting signifier in the light in my room was so bright it was like having the lights on and it was right above the bed. The duvet barely covered the bed and the room was so cold I had to get a blanket.",take age check book double room somehow become unavailable check option give single room smoke double room tell non smoker definitely go room wifi awful room grind go reception area get signal log wifi take quite get emergency light signifier light room bright like light right bed duvet barely cover bed room cold get blanket,0
11093,The staff were rude and unhelpful. Cleaners make so much noise in the morning. The walls are paper thin and you can hear everything from outside the room and what the people in next room are doing. The fire alarm went off twice whilst we was there and I asked for an explanation and got a dirty look and told they can’t say. All in all. Don’t stay,staff rude unhelpful cleaners make much noise morning wall paper thin hear everything outside room people next room fire alarm go twice whilst ask explanation get dirty look tell not say not stay,0
11094,"No hot water. 
Moved rooms twice and still no water .
Staff poor, and food second class. 
Nothing to say about this hotel .
Except its location.",hot water move room twice still water staff poor food second class nothing say hotel except location,0
11095,"Well, I booked 3 rooms all were meant to be doubles and they gave us twins, the air con didn't work, the whole hotel is VERY dated and bashed (executive room had a whole glass window smashed) and one of the other rooms didn't have any hit water for the shower.the breakfast was luck warm and limited and don't bother with the awful coffee.",well book room mean double give us twin air con not work whole hotel date bash executive room whole glass window smash one room not hit water showerthe breakfast luck warm limit not bother awful coffee,0
11096,"When we arrived check-in had a queue of about 8 people but somehow this took 25minutes waiting time, pretty slow for a 4 star hotel... Upon getting to the room, it seemed clean enough, went to have a quick shower and the hot water was barely above cold (same again at 9am)... Once woken up realised some lovely remains of a previous visitor on a bed cover that I hadn't seen the night before due to be knackered after getting in, it clearly wasn't mine because my feet cannot vomit",arrive checkin queue people somehow take minutes wait time pretty slow star hotel upon get room seem clean enough go quick shower hot water barely cold wake realise lovely remain previous visitor bed cover not see night due knackered get clearly not mine feet not vomit,0
11097,Could do with an update at some time soon,could update time soon,0
11098,Cold,cold,0
11099,We waited three hours to check in in to the room just because system was down. Entered hotel lobby after 8pm and finally got the room after 11pm. For all that time they couldn’t give us any room to have a rest. We were upgraded to a better room but the whole experience left us with big disappointment.,wait three hours check room system enter hotel lobby pm finally get room pm time could not give us room rest upgrade better room whole experience leave us big disappointment,0
11100,We were on the top floor- 12th floor. The window blew open which clearly should have been screwed shut.. you can tell because the screws were in the window g frame and broken looking. We paid for breakfast £23 for 2 and then the waiter wouldn’t let us in as we didn’t have a card. No one mentioned needing a card. The lift was broken and it took 20min to get back to breakfast. The should have had a list for breakfast.,top floor th floor window blow open clearly screw shut tell screw window g frame break look pay breakfast waiter would not let us not card one mention need card lift break take min get back breakfast list breakfast,0
11101,"Took two to check in, systems were down, was only on the room for just over 3 hours after taking too long to check in",take two check systems room hours take long check,0
11102,Place for waiting are good and spacious!,place wait good spacious,0
11103,Far away from the city.,far away city,0
11104,"The facilities were inadequate, cleanliness of the hotel was poor and hotel needs updating.",facilities inadequate cleanliness hotel poor hotel need update,0
11105,"I booked a room for 2 nights via Booking.Com for Sunday 20th Oct 2019 and Monday 21st Oct 2019. 
I saw a mouse in the breakfast hall on the first morning as I was finishing my breakfast and leaving the room. I informed a member of staff as I was leaving.
The next morning (Tuesday 21st October 2019) I asked to complain to the manager and explained to two people on reception that I did not wish to eat breakfast due to seeing a mouse in the breakfast hall the previous morning and requested a refund. I was told that the manager was not available. 
My room also had a plug socket which was coming away from the wall, the shower fixing had bits missing and the chair at the table was unsafe to sit on.",book room nights via bookingcom sunday th oct monday st oct saw mouse breakfast hall first morning finish breakfast leave room inform member staff leave next morning tuesday st october ask complain manager explain two people reception not wish eat breakfast due see mouse breakfast hall previous morning request refund tell manager not available room also plug socket come away wall shower fix bits miss chair table unsafe sit,0
11106,Staff very poor and lacked any form of good communication skill.,staff poor lack form good communication skill,0
11107,"The behavior of the staff.
Miserable facility of wifi.
No still water in room.
Poor aesthetics .
Badly needs renovations.",behavior staff miserable facility wifi still water room poor aesthetics badly need renovations,0
11108,"Do not get the breakfast! The wifi isn't free! The staff was all young and seemed to not want to be there. There was a lot of construction in the area when we were there, so it was loud, and at night, we couldn't walk directly from the train station to the hotel because the sidewalks were closed. I'm sure that's why we got a good deal on the price. 
Because it cost less, the clientele was a mixed bag, as a woman, I wouldn't have wanted to stay by myself. Back to the breakfast - it is a buffet style of motel style food in a dusty old ballroom. Not my vibe. Don't get talked into buying the breakfast vouchers when you check it. If you value quality food at all, it's worth it to walk around the corner to one of the restaurants for breakfast. 
Also, when I checked in, I was told the wifi in the lobby was free, but in the rooms, we only got 40 minutes a day. That was not explained ahead of time. As an American with my own business, I have to be able to check in, and I booked hotels with wifi so that I could work in the mornings. I found out, after going up to the room that you only get 20 minutes every 24 hours and then it cuts you off and asks you to pay. 
Was it comfortable enough and priced well for the location? Sure. Was it a great experience? No. 
This hotel needs some renovating, staff with a smile, and free wifi for guests. In my humble opinion.",not get breakfast wifi not free staff young seem not want lot construction area loud night could not walk directly train station hotel sidewalks close I sure get good deal price cost less clientele mix bag woman would not want stay back breakfast buffet style motel style food dusty old ballroom not vibe not get talk buy breakfast vouchers check value quality food worth walk around corner one restaurants breakfast also check tell wifi lobby free room get minutes day not explain ahead time american business able check book hotels wifi could work mornings find go room get minutes every hours cut ask pay comfortable enough price well location sure great experience hotel need renovate staff smile free wifi guests humble opinion,0
11109,"Old, grubby, dirty, smelly and very rude staff",old grubby dirty smelly rude staff,0
11110,We had to queue for over 30mins as the reception was mobbed. Though we went for the cheaper hotel market there were so many additions that were not clear when we booked. We were charged for 24 hrs parking as there was no option to do anything else at the time we arrived. We would have also had to pay extra for WiFi if we had needed it. We left with the feeling of being a little ripped off!,queue mins reception mob though go cheaper hotel market many additions not clear book charge hrs park option anything else time arrive would also pay extra wifi need leave feel little rip,0
11111,Check in /out understaffed . No feee WIFI in rooms .,check understaffed feee wifi room,0
11112,"Always a queue to check in. Takes ages for anyone to check in.
It’s a very old styled hotel but the furniture, wallpapers and carpets are genuinely old and as a result they are falling apart. Needs refurbishment’s",always queue check take age anyone check old style hotel furniture wallpaper carpet genuinely old result fall apart need refurbishments,0
11113,Rude disinterested staff. 30 min queue to check in. 20 mins to check out,rude disinterested staff min queue check mins check,0
11114,"I am extremely devastated with the hospitality provided by Britainnia international, catarrh eharf. I booked a room with two single beds only for them to get it wrong and give me one with a double bed, I noticed a patch of blood on the bed sheet and room had a nasty aroma. I complained to the manager but the he didn’t seem concerned at all, he gave me a scrap piece of paper to jot my number down, he hasn’t got back to me since. I’m extremely disappointed with my experience. They didn’t even me a refund.",extremely devastate hospitality provide britainnia international catarrh eharf book room two single bed get wrong give one double bed notice patch blood bed sheet room nasty aroma complain manager not seem concern give scrap piece paper jot number not get back since I extremely disappoint experience not even refund,0
11115,Everything,everything,0
11116,I had an email to say I could check in early. On arrival I was told that this was no longer possible and the only way I could get into a room was to upgrade and pay extra. I was on a tight schedule and normal check in would have made me late.,email say could check early arrival tell longer possible way could get room upgrade pay extra tight schedule normal check would make late,0
11117,"It took 40 minutes to check in which meant we where late for our conference. The room was dirty, black hair in the bath, floor was dirty, the furniture and fittings was broken, worn and in a poor state. The mattress was old and the springs was coming through. We booked a twin, but it was a double with the beds pushed 10 cm apart. When we spoke to the management, who also came up to the room to look and confirm the above, he said there was nothing they could do. This is totally unacceptable and I want a full refund.",take minutes check mean late conference room dirty black hair bath floor dirty furniture fittings break wear poor state mattress old spring come book twin double bed push cm apart speak management also come room look confirm say nothing could totally unacceptable want full refund,0
11118,"A check in that took TWO HOURS at 11pm. That's right. There were about 20 people who need to check in. Systems were down. But it didn't matter that were were all going to bed at way after midnight, they had some extremely lengthy process to follow rather than just giving us rooms! Systems go down. What matters is the back up plan and then how you handle the customers. Making them stand line for two hours at midnight is not the right answer from any serious business. Incredibly awful.",check take two hours pm right people need check systems not matter go bed way midnight extremely lengthy process follow rather give us room systems go matter back plan handle customers make stand line two hours midnight not right answer serious business incredibly awful,0
11119,It's a bit scruffy when you come in the entrance and the carpet is threadbare,bite scruffy come entrance carpet threadbare,0
11120,No running water from 9-4. What’s all that about. Couldn’t they sort that on an evening.,run water could not sort even,0
11121,Very bad counter service staff,bad counter service staff,0
11122,The room was tiny so much so we propted out door open at times as very closterphobic. Large single bed not a double no pillow protectors no head board so banged heads on walls . Air con unit was loud but needed it on it was a third of the room size so reduced the ceiling space and felt even morr closed in. Bed was so uncomfortable everytime we rolled over you just heard the crunch . Even my daughter with a young back was suffering. The additional toilet rolls had excrement on the underneath dried on . The shower had hairs on the walls so i had to wipe down . The toilet seat was loose. Food had been splatterd up the feature wall and left and red crayon. It was sub level by 2 floors no lift so lugged suitcases u n down step stairs. Someone was smoking weed outside a staff entance in sub level 1 . Smoke alarms n flashing red lights went off twice in both rooms as we had 2 rooms on the sublevel 2 when we went to the front desk no knew anything and one time at 4 am we went up in nightie n pjs to find noone at the desk . So wondered if it was safe to return for a while. People we saw got stuck in the lift. Check in process was terrible and my daughter who was travelling seperate to me n partner wasnt allowed to check in until i arrived so sat for 5 hours in the lobby even though she had picture ID... i have stayed all over the world in major cities and we knew it was just a base camp in order to go and explore our capital but we didnt want to go back to our room. Im not a snob i know we opted for a cheaper room but I have to say this was laughably the worst hotel regardless of the room rate. We didnt have a room we had a broom cupboard. Sorry wont be recommending your hotel.,room tiny much propted door open time closterphobic large single bed not double pillow protectors head board bang head wall air con unit loud need third room size reduce ceiling space felt even morr close bed uncomfortable everytime roll hear crunch even daughter young back suffer additional toilet roll excrement underneath dry shower hairs wall wipe toilet seat loose food splatterd feature wall leave red crayon sub level floor lift lug suitcases n step stairs someone smoke weed outside staff entance sub level smoke alarm n flash red light go twice room room sublevel go front desk know anything one time go nightie n pjs find noone desk wonder safe return people saw get stick lift check process terrible daughter travel seperate n partner not allow check arrive sit hours lobby even though picture id stay world major cities know base camp order go explore capital not want go back room I not snob know opt cheaper room say laughably worst hotel regardless room rate not room broom cupboard sorry not recommend hotel,0
11123,More comfortable new quality mattress,comfortable new quality mattress,0
11124,Check in is an absolute shambles. Tried to check in early but were treated like we were idiots. We didn’t expect to have access to the room right away but wanted to pay for the 24hr parking. Treated like children by the receptionist. When 2pm arrived there were huge queues. In the end waited 45mins to finally check in!,check absolute shamble try check early treat like idiots not expect access room right away want pay hr park treat like children receptionist pm arrive huge queue end wait mins finally check,0
11125,"Nothing at all, so when arrived we was promised a car parking space to then be told there wasn’t one we had to drive around for an hour looking for somewhere!! Car left ages away. Then ordered food at the bar was in a rush as we said and then 45 mins later we asked where our food was and she said she forgot to put the order through, we asked to have the food delivered to our room to compensate and save us time as we was late to meet our friends and at first declined to do it and made a issue out of nothing. Next day after 7 phone calls to room service ordered toast which he asked for 9 euros and asked for an offer if we wanted a upgrade full traditional breakfast for an extra 6 pounds so we said of course he said okay a few minutes, an hour later the break fast arrives was a half feeling orange juice more on Tray than the cup, a bowl with some melon and some burnt toast???? Where was the full traditional breakfast at for 15 euros wow!!!!!! We asked for a refund and they laughed on the phone they struggled to come and collect the break fast and give us the money back. It gets worse...... my friend wasn’t feeling well enough to drive 2 hours home so we asked to extend the room for one night, she explained on the phone she’s just taken a sleeping tablet and needed an hour sleep before coming down to pay at 11am!?! And he was so rude said it was not possible after hanging up on her we called back and out of anger my friend said what if I fall down the stairs and have a injury the guy laughed on the phone and said he would send a wheelchair up!!! Which is disgusting because her uncle is in a wheel chair and found that very sensitive!!?! We went down to pay and made a complaint about the guy and the lady was so rude she kissed her teeth at me looked me up and down and said it’s not her problem she wasn’t on shift at the time.... is that a joke ?!
Never ever stay at this hotel it’s a waste of money it doesn’t deserve 1 star let alone 4!!!",nothing arrive promise car park space tell not one drive around hour look somewhere car leave age away order food bar rush say mins later ask food say forget put order ask food deliver room compensate save us time late meet friends first decline make issue nothing next day phone call room service order toast ask euros ask offer want upgrade full traditional breakfast extra pound say course say okay minutes hour later break fast arrive half feel orange juice tray cup bowl melon burn toast full traditional breakfast euros wow ask refund laugh phone struggle come collect break fast give us money back get worse friend not feel well enough drive hours home ask extend room one night explain phone take sleep tablet need hour sleep come pay rude say not possible hang call back anger friend say fall stairs injury guy laugh phone say would send wheelchair disgust uncle wheel chair find sensitive go pay make complaint guy lady rude kiss teeth look say not problem not shift time joke never ever stay hotel waste money not deserve star let alone,0
11126,The rooms and the bedspreads are very dirty,room bedspreads dirty,0
11127,"There are rooms on the basement ! (that was the first time we came across such a situation). 
Also in the first floor where we were staying there were NO windows( feeling a bit like rats...)
The wifi policy is quite ridiculous. You are given 40 minutes per day of free service and you have to pay an additional 7pounds for every additional device should you need to use it over 40minutes ( for a laptop+mobile that is 14GBP) .",room basement first time come across situation also first floor stay windows feel bite like rat wifi policy quite ridiculous give minutes per day free service pay additional pound every additional device need use minutes laptopmobile gbp,0
11128,Slow check-in as limited staff available.,slow checkin limit staff available,0
11129,Had to wait in a queue for an hour to check in then had a receptionist that could not understand us and was most unhelpful which made us late for the event we were going to. The room 167 was located in a terrible position opposite the chamber maids room so we were woken after a few hours sleep by the staff getting there trolleys etc. We had only a short sleep due to constant noise from what sounded like a giant washing machine going all night. The view from the window was of a building site which we discovered when they began work at 7am driving a noisy truck up and down. We had no information in the room or given to us about any facilities or even how to work the television. Thankfully we are intelligent enough to find our way around an hotel. another quest told us how to get to the tube station.,wait queue hour check receptionist could not understand us unhelpful make us late event go room locate terrible position opposite chamber maids room wake hours sleep staff get trolleys etc short sleep due constant noise sound like giant wash machine go night view window build site discover begin work drive noisy truck information room give us facilities even work television thankfully intelligent enough find way around hotel another quest tell us get tube station,0
11130,"The bed wasn’t super comfortable, however they did give extra pillows.
Also the elevator broke down.",bed not super comfortable however give extra pillow also elevator break,0
11131,The staff where lovely but the accommodation I hadnt stayed the night as I had found a rat in the hallway. My partner did not want to stay here. Expecting a refund.,staff lovely accommodation not stay night find rat hallway partner not want stay expect refund,0
11132,Service was very slow and unclear. Breakfast was all cold and dry. The room was ok but gave one small towel and one large amongst two adults. Had to called them 4 times to ask for large towels but instead of large the gave me two small towels. I did call again but got ignored. Bathroom was very unclean n carpet was not hovered.,service slow unclear breakfast cold dry room ok give one small towel one large amongst two adults call time ask large towel instead large give two small towel call get ignore bathroom unclean n carpet not hover,0
11133,Worst hotel in England,worst hotel england,0
11134,No aircon and lots of construction going on around hotel.,aircon lot construction go around hotel,0
11135,Hotel seemed a little tired,hotel seem little tire,0
11136,Window was charged at an extra £10 but was broken open so was whistling all night! A short black curly hair was on the so called clean bedding! There was no hot choc in the drinks. The carpark was unfinished and looked unsafe was quite scary walking down there!!,window charge extra break open whistle night short black curly hair call clean bed hot choc drink carpark unfinished look unsafe quite scary walk,0
11137,Internet facility is horrible. You have to pay for access for WiFi,internet facility horrible pay access wifi,0
11138,Check in was ridiculous. One hour que.,check ridiculous one hour que,0
11139,"Staff hardly speaking English. Dated furniture, heating not working",staff hardly speak english date furniture heat not work,0
11140,I left my ck one perfume in the room after check out and up till now no phone call to that effect.,leave ck one perfume room check till phone call effect,0
11141,Long queues to book in,long queue book,0
11142,The bed wasnt as comfy as I like and could've done with plug sockets nearer the bed,bed not comfy like could plug sockets nearer bed,0
11143,"did not eat at hotel. Room was so hot had to ask duty manager to open window as fan/temperature was stuck on 30oC.
Corridor smelt of smoke although the room was ok. the decor was tired and could do with an upgrade throughout. I was concerned as had read reviews posted within the previous week about mouse issues - luckily did not see any sign of these. Pity we had to keep our window open all the time due to the excessively hot room as it meant it was very noisy to sleep with trains and cars hooting outside at night and early in the morning.",not eat hotel room hot ask duty manager open window fantemperature stick oc corridor smelt smoke although room ok decor tire could upgrade throughout concern read review post within previous week mouse issue luckily not see sign pity keep window open time due excessively hot room mean noisy sleep train cars hoot outside night early morning,0
11144,Temperature of the cooked food varied from warm to hot.,temperature cook food vary warm hot,0
11145,Toilet was not working did not flush broken from before needed to be sorted before you put a customer in. Alarm when off at 10pm on the second day which woke me up.,toilet not work not flush break need sort put customer alarm pm second day wake,0
11146,"Pretty much all aspects of the hotel
Toilets were particularly dirty, clearly not monitored.",pretty much aspects hotel toilets particularly dirty clearly not monitor,0
11147,The constant noise from the building work outside the window is a real problem. The rooms are dated as is the hotel,constant noise build work outside window real problem room date hotel,0
11148,Dated decor. Carpet was vile,date decor carpet vile,0
11149,"Needs updating badly. Decor from the 70's, was a budget hotel and clearly it shows.",need update badly decor budget hotel clearly show,0
11150,Terrible maintenance. Room not cleaned even after being reminded twice.,terrible maintenance room not clean even remind twice,0
11151,I was placed in a single room even though I booked double room. Then they upgraded me to a room with a view which was very outdated and wasn't comfortable at all. I was very disappointed because I stayed here two days before and had a great experience and really nice room. I paid double the cost second around but had a bad experience. I won't be staying at Britannia hotels again,place single room even though book double room upgrade room view outdated not comfortable disappoint stay two days great experience really nice room pay double cost second around bad experience not stay britannia hotels,0
11152,It was a bit chilly.,bite chilly,0
11153,All of above,,0
11154,"In the room - the windows were disgusting, Mark's all over them, the bathroom had stain marks and cracked tiles, the room was dated and not very clean, stains on the ceiling and walls. I stated I wanted a twin room and I got a double, the bed was very uncomfortable, there was one window that was open in our room and there was no way of shutting it, we couldn't even pull it shut because there was no handle for it, so it was freezing all night, no one came to close it when asked! The breakfast was ok but for £15 each, it wasn't worth it, I had to find a clean mug for my tea as well! Nothing was organised! Was so excited about going but the price for a room a night and for breakfast is definitely not worth it at all.",room windows disgust mark bathroom stain mark crack tile room date not clean stain ceiling wall state want twin room get double bed uncomfortable one window open room way shut could not even pull shut handle freeze night one come close ask breakfast ok not worth find clean mug tea well nothing organise excite go price room night breakfast definitely not worth,0
11155,Some of the other customers were horrible,customers horrible,0
11156,Just horrible overall.,horrible overall,0
11157,Car park charge,car park charge,0
11158,Décor is a little tired and needs refreshing. Shower in our room not great and no plug for the bath,dcor little tire need refresh shower room not great plug bath,0
11159,A little noise from the surrounding areas such as the planes and tubes but it wasnt excessive.,little noise surround areas plan tube not excessive,0
11160,.,,0
11161,"Overall hotel had tired feeling with peeling wallpaper, dirty carpets and poor finish of the fittings. Had a dining table in our room that had one chair that was falling apart",overall hotel tire feel peel wallpaper dirty carpet poor finish fittings din table room one chair fall apart,0
11162,"Hotel is dirty,damp and in need of a refurbishment, level 1 corridor smelt so bad of damp and cigarette smoke. The room was clean but very run down especially wall paper peeling and the beds were not particularly comfortable, I wouldn't particularly stay here again. Also in the lift going down to reception the lift suddenly stopped working and jammed between the floors and then was told it was out of service and not to use it, even though we were in it at the time. If I could claim a refund I would.",hotel dirtydamp need refurbishment level corridor smelt bad damp cigarette smoke room clean run especially wall paper peel bed not particularly comfortable would not particularly stay also lift go reception lift suddenly stop work jam floor tell service not use even though time could claim refund would,0
11163,"The room was cold. The heating didn’t work. I had dirty, stained pillow cases on my bed and had to wait for 2 hours before I was given clean ones. Staff weren’t very friendly.",room cold heat not work dirty stain pillow case bed wait hours give clean ones staff not friendly,0
11164,"Rooms were dirty, very long queue for check in and was forced to provide more contact info, room stank like fags showing they didn't even check the room especially since it was a non-smoking room, the bins weren't even emptied. Upon complaining they basically just put some air freshener to cover the smell. Horrible. Room was also dirty and with also a ceiling tile half coming off, ripped wallpaper and the promise of bedside plugs was a lie.",room dirty long queue check force provide contact info room stink like fag show not even check room especially since nonsmoking room bin not even empty upon complain basically put air freshener cover smell horrible room also dirty also ceiling tile half come rip wallpaper promise bedside plug lie,0
11165,Every thing,every thing,0
11166,Customer service had to pay an extra £30 for late check out without being informed was huddled into leaving a £50 deposit and the room we booked wasn’t the room we got,customer service pay extra late check without inform huddle leave deposit room book not room get,0
11167,Shower,shower,0
11168,"Very unclean room and rusty shower curtain pole that was unbelievable! Paid £130 and room was filthy. Told manager and showed photos but didn’t offer any kind of rate reduction and told me not to bother contacting head office as they wouldn’t refund any part of the stay. Just offered a room upgrade on my next visit! No thanks, I won’t be back",unclean room rusty shower curtain pole unbelievable pay room filthy tell manager show photos not offer kind rate reduction tell not bother contact head office would not refund part stay offer room upgrade next visit thank not back,0
11169,Price !!! uncomfortable beds and lack of condiments in our bedroom and only 30 minutes free wi fi in your bedroom for £230 I’d expect free WiFi throughout my stay poor water pressure for shower I expected better,price uncomfortable bed lack condiments bedroom minutes free wi fi bedroom id expect free wifi throughout stay poor water pressure shower expect better,0
11170,Very dated and I dont like paying to stay in a hotel when there are scummy people sleeping all over the lobby sofas all nigh..! Wont be staying again.,date not like pay stay hotel scummy people sleep lobby sofas nigh not stay,0
11171,Bed was uncomfortable and one flat pillow each,bed uncomfortable one flat pillow,0
11172,The rooms were very outdated. Wallpaper coming off the walls. A rat ran past us when we were in the lobby having drinks,room outdated wallpaper come wall rat run past us lobby drink,0
11173,Location was not as I expected. A decent walk to public transport.,location not expect decent walk public transport,0
11174,"Room had no window....would not pay £10 extra for a window on principal. Pillow and spare pillow were very flat.
Room smelt of smoke even though it is no smoking. This was still apparent when we left the next day. Enough coffee, sugar etc for 1 cup each only. Breakfast was only basic choices. Food was not of a good standard, I.e. cheap sausages, bacon. Croissants tasted stale.",room windowwould not pay extra window principal pillow spare pillow flat room smelt smoke even though smoke still apparent leave next day enough coffee sugar etc cup breakfast basic choices food not good standard ie cheap sausages bacon croissants taste stale,0
11175,"Tired, worn fixtures and decor.
Rude, aggressive staff who pursued a colleague for an outstanding payment (which they’d told us on check-in was paid) - knocking on her room door with card machine in hand.
Uncomfortably hot rooms; the thermostat controls in room made no difference.
Extremely slow check in process. All my colleagues were expected to show photo ID or credit card even though I had pre-paid all rooms using my credit card.
Two colleagues got stuck in the lift.",tire wear fixtures decor rude aggressive staff pursue colleague outstanding payment would tell us checkin pay knock room door card machine hand uncomfortably hot room thermostat control room make difference extremely slow check process colleagues expect show photo id credit card even though prepay room use credit card two colleagues get stick lift,0
11176,"Everything it’s dirty, staff are rude and unhelpful as I requested help due to being a wheelchair user and being ignored.
The rooms are useless for wheelchair users the disabled room bathroom door doesn’t even fit a standard wheelchair.
There version of a double bed for a disabled guest was to push two singles together on wheels that don’t lock so the bed moves as you try to transfer from the wheelchair.
Bathroom is dangerous broken unlevel floor that caused me to fall which was all reported not once did the manager ask if I was ok I am covered in bruises took us to a further room that wasn’t for disabled quests which was even worse when we said we weren’t happy with either we were told they were all they had to offer we asked for a refund and we would find alternative accommodation to be told that we couldn’t have a refund as they don’t refund after 2pm as i booked my room at 5pm and arrived at 730pm that’s ludicrous he said tough you have to accept it now and walked away the hotel is next to a building site that is working 24 hours a day and the dlr so very noisy the rooms must have been decorated when Canary Wharf was first built and never touched since its decor was dated and extremely dirty ooh and let not forget the first room had bed bugs!!!",everything dirty staff rude unhelpful request help due wheelchair user ignore room useless wheelchair users disable room bathroom door not even fit standard wheelchair version double bed disable guest push two single together wheel not lock bed move try transfer wheelchair bathroom dangerous break unlevel floor cause fall report not manager ask ok cover bruise take us room not disable quest even worse say not happy either tell offer ask refund would find alternative accommodation tell could not refund not refund pm book room pm arrive pm ludicrous say tough accept walk away hotel next build site work hours day dlr noisy room must decorate canary wharf first build never touch since decor date extremely dirty ooh let not forget first room bed bug,0
11177,"A member of staff argued with my partner. The check in was pain stackingly long and arduse. It was like staying in a hostel. The breakfast was of a bad quality. The first room we stayed in was nothing more than a hole in the wall, a windowless basement room with noise all around from 70 other similar rooms with an air com that buzzed when switched on. The outward apperence of the hotel did not represent the quality of the staff and rooms. A schizophrenic environment.",member staff argue partner check pain stackingly long arduse like stay hostel breakfast bad quality first room stay nothing hole wall windowless basement room noise around similar room air com buzz switch outward apperence hotel not represent quality staff room schizophrenic environment,0
11178,"Breakfast which we took once was very limited in choice and cooked meal I had was disappointing - overcooked eggs, greasy black pudding and not very warm. Bedroom not well cleaned every day - bathroom not thoroughly cleaned and one day bed not tidied up and remade properly. Carpets in public areas threadbare.",breakfast take limit choice cook meal disappoint overcook egg greasy black pudding not warm bedroom not well clean every day bathroom not thoroughly clean one day bed not tidy remake properly carpet public areas threadbare,0
11179,The rum and the bed,rum bed,0
11180,Just the veiw is a bit ruined by the buliding sites outside but no fault of yours,veiw bite ruin buliding sit outside fault,0
11181,"None of the staff were English, they tried to charge me twice for my room.
I asked for a room with a double bed but got 2 beds pushed together.",none staff english try charge twice room ask room double bed get bed push together,0
11182,"Almost every second of this experience was a disaster - from having to stand in line over 45mins to check in - the small basement room nothing like the photos online - of much lower standard than a budget hotel from the most budget of budget hotel chains. Pillows on bed, the bed itself - not one saving grace for this hotel - avoid at all costs. Noisey room with something banging all night - check was another line of more than 30mins..",almost every second experience disaster stand line mins check small basement room nothing like photos online much lower standard budget hotel budget budget hotel chain pillow bed bed not one save grace hotel avoid cost noisey room something bang night check another line mins,0
